YMR090W	0.04	0.4945	0.0808
YML107C	0.0907	0.3581	0.2531
YER034W	0.1031	0.4891	0.2108
YML002W	0.0558	0.4178	0.1335
YML118W	0.0757	0.4266	0.1775
YMR276W	0.0247	0.2884	0.0857
YGR262C	0.0131	0.3556	0.0368
YPR157W	0.0525	0.4293	0.1223
YJR042W	0.0436	0.3158	0.138
YLR249W	0.0055	0.1175	0.0465
YGR074W	0.0137	0.4617	0.0297
YJR003C	0.0942	0.3749	0.2513
YDR079C-A	0.0164	0.5081	0.0322
YPL075W	0.0326	0.3517	0.0928
